@RELATION carTravel

@ATTRIBUTE distance NUMERIC
@ATTRIBUTE traffic {Habitual, Alto}
@ATTRIBUTE timeOfDay {Matutino, Manana, MediaJornada, Tarde, Noche}
@ATTRIBUTE weather {Despejado, Lluvioso, Nublado, Tormentoso}
@ATTRIBUTE transportQuality {Baja, Buena}
@ATTRIBUTE day {Laboral, Finde}
@ATTRIBUTE terreno {Montana, Carretera, Ciudad}
@ATTRIBUTE tiempo NUMERIC

@DATA
75, Habitual, Tarde, Tormentoso, Buena, Finde, Carretera, 58
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 46
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 45
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 50
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 51
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 45
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 44
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 43
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 41
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 47
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 45
75, Habitual, Noche, Tormentoso, Buena, Finde, Carretera, 45
30, Habitual, Manana, Despejado, Buena, Laboral, Carretera, 26
30, Habitual, Manana, Despejado, Buena, Laboral, Carretera, 27
30, Habitual, Manana, Despejado, Buena, Laboral, Carretera, 29
30, Habitual, Manana, Despejado, Buena, Laboral, Carretera, 28
30, Habitual, Manana, Despejado, Buena, Laboral, Carretera, 25
30, Habitual, Manana, Despejado, Buena, Laboral, Carretera, 29
